Timestamp,Branch ,Program ,Age,Coporate work experience (No. of Years),Gender,I am the life of the party.,I don't talk a lot.,I feel comfortable around people.,I keep in the background.,I start conversations.,I have little to say.,I talk to a lot of different people at parties.,I don't like to draw attention to myself.,I don't mind being the center of attention.,I am quiet around strangers.,I get stressed out easily.,I am relaxed most of the time.,I worry about things.,I seldom feel blue.,I am easily disturbed.,I get upset easily.,I change my mood a lot.,I have frequent mood swings.,I get irritated easily.,I often feel blue.,I feel little concern for others.,I am interested in people.,I insult people.,I sympathize with others' feelings.,I am not interested in other people's problems.,I have a soft heart.,I am not really interested in others.,I take time out for others.,I feel others' emotions.,I make people feel at ease.,I am always prepared.,I leave my belongings around.,I pay attention to details.,I make a mess of things.,I get chores done right away.,I often forget to put things back in their proper place.,I like order.,I shirk my duties.,I follow a schedule.,I am exacting in my work.,I have a rich vocabulary.,I have difficulty understanding abstract ideas.,I have a vivid imagination.,I am not interested in abstract ideas.,I have excellent ideas.,I do not have a good imagination.,I am quick to understand things.,I use difficult words.,I spend time reflecting on things.,I am full of ideas.
3/11/2022 16:48:34,CSE,MS,24,0.5,1,4,2,4,1,4,1,4,1,5,2,1,5,2,4,2,4,2,2,2,2,2,4,3,4,1,5,5,5,4,4,4,4,4,4,2,4,4,2,2,2,2,2,5,2,4,1,4,2,5,5
4/2/2022 0:13:43,CSE,Phd,28,0,1,3,4,3,4,2,4,1,4,4,4,3,3,3,3,4,3,3,3,4,3,3,3,3,4,3,4,3,4,4,4,3,2,5,2,3,2,3,2,3,3,2,2,4,2,4,2,4,2,5,4
4/3/2022 1:17:03,CSE,MS,24,2,1,3,4,3,4,4,4,2,5,2,3,1,5,2,4,1,1,3,1,1,3,4,3,1,4,3,5,2,4,4,3,2,1,5,1,5,2,3,1,4,3,2,2,4,2,3,2,4,2,5,4
4/3/2022 1:18:14,CSE,MS,24,1,1,4,3,4,4,3,3,3,4,3,3,1,4,2,4,2,2,3,2,3,1,4,3,1,4,3,4,3,4,4,4,3,3,4,2,4,2,4,3,3,3,2,2,4,2,4,2,3,2,4,4
4/3/2022 1:29:10,CSE,MS,24,0,1,4,1,4,2,4,2,4,2,4,3,3,3,4,4,2,4,4,4,2,2,2,4,2,3,3,2,2,2,2,3,3,4,4,3,2,3,4,1,2,3,2,2,5,2,3,2,4,2,4,3
4/3/2022 1:37:15,CSE,MS,23,0,1,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,4,3,3,2,5,2,4,2,5,1,4,5,3,2,3,3,4,3,3,3,5,3
4/3/2022 1:46:08,CSE,MS,22,0,1,1,4,5,3,2,4,1,4,3,5,5,4,4,4,2,3,2,2,4,2,4,3,1,5,2,4,3,4,4,4,1,2,5,4,2,2,5,3,1,5,3,1,5,1,5,1,3,2,5,4
4/3/2022 9:51:07,Computer Science,MS,24,9-10 mos,1,3,4,4,3,3,3,4,3,4,2,2,4,2,4,2,2,4,4,2,2,4,4,1,5,2,4,1,4,4,4,3,3,4,2,3,2,4,2,4,4,2,3,4,4,3,3,2,2,3,3
4/4/2022 1:47:48,CS,MS,26,1,1,3,2,4,3,4,1,3,4,3,2,2,4,4,4,3,3,3,3,3,3,2,4,2,4,2,4,2,4,4,4,3,4,4,3,4,4,3,2,2,3,3,2,4,2,4,2,4,2,4,4
4/7/2022 19:30:49,Computer Science ,MS,24,0,1,4,2,4,2,4,2,1,2,4,4,2,4,4,4,2,2,2,2,2,4,4,4,3,4,2,4,2,4,4,4,3,4,2,4,3,4,3,3,3,3,3,2,4,2,4,2,4,2,2,4
4/7/2022 19:40:58,Bio,MS,24,0,1,3,2,3,3,4,4,2,2,4,3,3,4,4,2,2,2,2,2,2,4,4,4,4,4,2,4,2,5,4,3,2,4,3,2,1,4,3,4,1,3,1,2,3,2,2,2,3,2,4,2
4/7/2022 20:49:28,CSE,MS,24,0,1,3,4,4,4,2,4,3,5,4,4,3,2,4,3,2,2,2,3,2,2,4,4,1,4,3,4,2,4,4,2,2,3,5,2,1,1,5,1,1,3,2,4,3,1,2,2,2,2,2,3
4/7/2022 21:09:54,Cse,MS,25,0,1,3,2,4,3,3,3,2,2,4,3,1,2,2,3,2,2,2,2,1,3,4,4,1,3,2,4,2,3,4,2,3,2,4,2,3,2,4,3,4,4,3,3,2,2,4,2,4,3,4,3
4/7/2022 21:47:36,CSE,MS,25,0,1,2,3,2,4,4,3,2,4,4,4,2,4,2,2,2,2,2,2,2,2,2,3,1,4,2,4,2,4,4,4,4,3,4,2,4,2,4,3,3,4,3,4,4,2,4,2,4,2,3,4
4/7/2022 21:53:40,MS CSE 2021,MS,24,3,2,4,1,5,2,5,1,5,3,4,1,2,5,2,4,2,1,2,2,2,2,2,5,2,4,2,3,2,3,4,4,2,5,2,3,2,2,4,4,2,2,4,3,4,2,3,2,4,2,2,3
4/7/2022 22:03:06,CSE,MS,25,0,1,3,2,4,3,3,3,2,4,2,3,2,4,2,3,2,2,2,2,2,2,4,3,2,4,2,4,2,4,4,4,4,2,4,2,4,2,4,2,5,2,3,2,4,2,4,2,4,2,4,3
4/7/2022 22:16:08,Computer Science,MS,22,0,2,3,3,4,3,4,3,4,3,3,3,3,4,4,3,3,3,3,3,2,3,2,5,2,3,3,3,3,3,3,4,3,2,4,3,3,2,4,3,4,3,3,4,4,3,3,2,3,3,4,4
4/7/2022 22:18:56,ECE,MS,24,0,1,3,3,4,3,2,2,1,4,3,5,2,4,2,2,4,2,2,1,2,2,4,5,1,5,2,3,2,4,4,4,4,1,5,1,5,1,1,3,3,3,4,1,4,1,3,2,5,1,5,5
4/8/2022 11:58:33,ITBS,MS,23,1.5,1,2,3,4,3,4,2,4,5,2,5,1,4,2,3,2,1,1,1,2,3,4,4,2,4,2,2,3,2,2,3,2,2,4,2,2,4,4,3,2,3,4,2,4,3,4,1,4,4,5,4
4/8/2022 16:26:07,CS,MS,26,2,1,4,2,4,2,4,2,4,3,3,2,3,3,3,4,2,2,3,2,3,4,2,5,2,4,2,3,2,4,4,4,3,3,4,2,3,3,4,3,4,5,4,2,5,2,5,1,4,3,4,4
4/8/2022 21:57:28,ECE,MS,23,1,1,4,2,4,1,5,2,5,2,4,2,4,4,4,4,2,2,2,1,2,4,2,4,2,5,2,2,2,4,5,4,4,2,5,2,5,2,2,2,4,2,2,2,3,1,4,2,4,2,4,4
4/8/2022 22:47:59,CSE,MS,28,4,1,3,2,4,4,3,2,3,4,2,3,2,4,2,4,2,2,1,1,1,2,2,4,1,4,3,4,2,4,4,4,3,1,4,2,3,2,4,2,4,5,3,3,3,2,4,3,4,2,4,3
4/10/2022 0:20:43,CSE,MS,23,0,1,1,4,3,4,2,4,2,4,2,4,3,2,4,4,2,2,2,2,2,2,2,4,2,4,2,4,2,4,3,3,2,2,2,2,2,2,4,2,4,3,2,3,3,3,3,3,2,1,4,3
4/11/2022 14:16:39,CSE,MS,25,3,2,2,2,4,3,5,2,3,2,2,2,3,4,4,4,5,3,3,2,2,3,4,4,1,5,2,5,2,4,5,5,3,2,5,3,3,4,3,2,4,3,3,2,3,1,4,4,4,3,5,4
4/11/2022 15:38:10,cogsci,Phd,27,0,2,3,2,3,3,4,4,3,3,3,4,4,5,4,3,3,3,3,3,3,3,4,4,2,4,3,4,3,4,4,4,3,3,4,3,3,4,2,4,4,4,2,4,4,2,3,3,3,2,2,3
4/12/2022 0:44:38,,MS,35,10,2,3,3,3,2,3,2,3,4,2,3,3,4,3,2,3,2,3,3,2,2,2,4,1,4,3,3,2,3,3,4,2,2,4,1,4,2,4,2,4,3,3,2,4,2,3,2,3,2,4,3
4/12/2022 11:44:02,CSE ,MS,26,3,1,3,4,4,3,3,2,2,4,3,2,2,3,4,3,3,3,3,3,3,3,2,4,3,4,2,4,3,4,4,3,2,3,4,2,1,1,3,2,1,2,3,3,4,2,3,2,3,2,4,3
4/12/2022 15:53:51,CSE,MS,27,Yes,2,2,4,3,4,2,4,3,4,2,5,4,3,4,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,4,2,3,1,4,2,3,3,3,3,3,3,3,3,3,3,4,4
4/12/2022 17:36:36,,MS,23,0,2,2,3,3,3,4,3,2,4,2,4,4,4,4,2,4,4,3,2,3,3,4,4,2,4,2,4,2,4,4,4,2,2,4,4,2,3,4,2,3,3,4,2,3,2,4,2,4,4,4,3
4/12/2022 20:56:22,CIVIL,MS,22,No,2,2,4,3,2,3,1,4,4,4,4,2,3,4,3,2,3,2,2,2,3,5,4,1,4,2,5,2,3,5,4,3,2,4,4,3,1,3,3,4,4,3,3,3,3,4,3,4,2,3,3
4/14/2022 14:42:36,CSE,MS,23,Internship (6 months),1,4,3,4,2,4,3,4,3,4,5,3,3,4,4,4,4,3,4,3,4,4,3,2,4,2,4,3,3,4,3,3,4,3,4,4,2,4,3,4,3,2,3,4,2,3,4,3,2,4,3
